1672509689.27,"lie"
1672509874.75,"elie"
1672509894.00,"r"
1672510079.98,"er"
1672510097.28,"d"
1672510316.44,"ed"
1672510368.47,"st"
1672510371.30,"sit"
1672510373.88,"st"
1672510375.83,"sit"
1672510378.34,"st"
1672510380.39,"sit"
1672510382.94,"st"
1672510385.22,"sit"
1672510388.06,"st"
1672510390.77,"esit"
1672510471.06,"wd"
1672510663.30,"ewd"
1672510709.81,"wp"
1672510896.28,"ewp"
1672511029.95,"ds"
1672511053.73,"eds"
1672511126.20,"ws"
1672511347.09,"wr"
1672511531.89,"wf"
1672511717.28,"ewf"
1672511840.44,"us"
1672511869.42,"eus"
