1672509688.62,"lie"
1672509874.56,"elie"
1672509893.53,"r"
1672510079.34,"er"
1672510097.72,"d"
1672510316.48,"ed"
1672510367.56,"st"
1672510370.64,"sit"
1672510372.91,"st"
1672510375.34,"sit"
1672510378.00,"st"
1672510380.27,"sit"
1672510386.14,"st"
1672510388.31,"sit"
1672510390.47,"st"
1672510392.91,"esit"
1672510469.81,"wd"
1672510664.42,"ewd"
1672510709.89,"wp"
1672510896.28,"ewp"
1672511031.61,"ds"
1672511051.22,"eds"
1672511128.27,"ws"
1672511343.33,"wr"
1672511529.20,"wf"
1672511716.20,"ewf"
1672511841.62,"us"
1672511869.44,"eus"
